date,price,volume,market_cap
2024-01-14 00:00:00,3.88817143352152,52192287.25755923,1461170071.9497645
2024-01-15 00:00:00,3.7734265072657083,58762447.78179451,1429315477.9379704
2024-01-16 00:00:00,3.763984803124007,54168375.00560214,1415990668.8208766
2024-01-17 00:00:00,3.967742493120474,92859866.05420549,1492133111.5520961
2024-01-18 00:00:00,4.1924634610162075,181226075.02447942,1577878892.1703608
2024-01-19 00:00:00,4.288921034902934,164110851.74720252,1612782337.6292078
2024-01-20 00:00:00,4.120951847140293,181528505.98740822,1550488754.6148374
2024-01-21 00:00:00,3.990415125724879,64522778.26726729,1501280507.2248492
2024-01-22 00:00:00,3.9778687330165283,49673785.705062844,1498044567.8162737
2024-01-23 00:00:00,3.7409398176301973,75997085.03627677,1408938252.9403296
2024-01-24 00:00:00,3.7432486146776482,110403691.65199865,1404884852.6517115
2024-01-25 00:00:00,3.8503469110333683,72198930.48184945,1448951884.1680124
2024-01-26 00:00:00,3.7110552711838536,67238935.92852888,1394741309.8331218
2024-01-27 00:00:00,3.911794914199801,76299767.31270026,1470907534.3349183
2024-01-28 00:00:00,4.080492645585203,57826624.11626319,1532395566.6650293
2024-01-29 00:00:00,3.9731809353414844,98384649.95231324,1495479037.218035
2024-01-30 00:00:00,4.285624315654819,107226789.56827298,1614624801.7231412
2024-01-31 00:00:00,4.601388532265439,230219929.89974943,1729338267.4680338
2024-02-01 00:00:00,4.326197295152511,177189224.47744697,1628980418.330231
2024-02-02 00:00:00,4.600919137895008,178517194.41278183,1730215275.601387
2024-02-03 00:00:00,4.592203677391561,103448404.9621424,1727625095.54849
2024-02-04 00:00:00,4.723002906726796,140369464.30675143,1777025083.9555118
2024-02-05 00:00:00,4.651011548863545,136109132.092055,1748598696.9152112
2024-02-06 00:00:00,4.4074829035799015,142414351.99260873,1658704017.4506698
2024-02-07 00:00:00,4.283701353669937,78521056.36810887,1613482221.83587
2024-02-08 00:00:00,4.46462681356583,74448336.0901242,1680289806.323984
2024-02-09 00:00:00,4.437780671113859,69287365.44247149,1671863917.166615
2024-02-10 00:00:00,4.720113575871345,98897869.72274816,1778596977.9693787
2024-02-11 00:00:00,4.656214060173213,80043955.80149548,1751283206.996463
2024-02-12 00:00:00,4.628501532329054,60978687.234034225,1740360991.1221137
2024-02-13 00:00:00,4.7927700778984805,82750626.51859409,1800075650.9911392
2024-02-14 00:00:00,4.90235414938993,207351712.71538427,1842579991.9245217
2024-02-15 00:00:00,5.003906700737892,142221647.5952413,1893362367.3382664
2024-02-16 00:00:00,5.3200132992701334,208098582.84465343,2011732005.5784235
2024-02-17 00:00:00,5.3001871784449195,274545018.0012427,2004891323.8642871
2024-02-18 00:00:00,5.694448144377847,197369861.8845085,2159433766.578219
2024-02-19 00:00:00,5.824673896136483,193914268.04076394,2203957521.912428
2024-02-20 00:00:00,6.348441059550308,287175551.65017647,2399429477.9618025
