date,price,volume
2024-01-13,3.8316972204438464,120406655.47636849
2024-01-14,3.88817143352152,52192287.25755923
2024-01-15,3.7734265072657083,58762447.78179451
2024-01-16,3.763984803124007,54168375.00560214
2024-01-17,3.967742493120474,92859866.05420549
2024-01-18,4.1924634610162075,181226075.02447942
2024-01-19,4.288921034902934,164110851.74720252
2024-01-20,4.120951847140293,181528505.98740822
2024-01-21,3.990415125724879,64522778.26726729
2024-01-22,3.9778687330165283,49673785.705062844
2024-01-23,3.7409398176301973,75997085.03627677
2024-01-24,3.7432486146776482,110403691.65199865
2024-01-25,3.8503469110333683,72198930.48184945
2024-01-26,3.7110552711838536,67238935.92852888
2024-01-27,3.911794914199801,76299767.31270026
2024-01-28,4.080492645585203,57826624.11626319
2024-01-29,3.9731809353414844,98384649.95231324
